pays,zone,annee,culture,production_tonnes,surface_ha,rendement_kg_ha,valeur_production_kUSD
Madagascar,Afrique de l'Est,2000,Canne à sucre,2478386.0,45375.0,54619.6,693948.2
Madagascar,Afrique de l'Est,2000,Vanille,2948.0,4260.0,691.9,117904.2
Madagascar,Afrique de l'Est,2000,Café,57117.0,164954.0,346.3,159926.5
Madagascar,Afrique de l'Est,2000,Girofle,15621.0,12950.0,1206.3,70295.2
Madagascar,Afrique de l'Est,2000,Noix de coco,97703.0,27792.0,3515.5,53736.9
Mozambique,Afrique de l'Est,2000,Canne à sucre,3645466.0,61239.0,59528.1,1020730.6
Mozambique,Afrique de l'Est,2000,Vanille,120.0,302.0,398.3,4812.0
Mozambique,Afrique de l'Est,2000,Café,21615.0,79959.0,270.3,60520.9
Mozambique,Afrique de l'Est,2000,Girofle,2105.0,2361.0,891.3,9471.6
Mozambique,Afrique de l'Est,2000,Noix de coco,24102.0,7693.0,3132.9,13255.9
Kenya,Afrique de l'Est,2000,Canne à sucre,5377294.0,77352.0,69517.0,1505642.4
Kenya,Afrique de l'Est,2000,Vanille,85.0,224.0,377.5,3384.6
Kenya,Afrique de l'Est,2000,Café,50953.0,92353.0,551.7,142668.2
Kenya,Afrique de l'Est,2000,Girofle,734.0,1080.0,679.6,3301.8
Kenya,Afrique de l'Est,2000,Noix de coco,140961.0,28436.0,4957.2,77528.6
Tanzania,Afrique de l'Est,2000,Canne à sucre,2407171.0,40755.0,59064.3,674007.9
Tanzania,Afrique de l'Est,2000,Vanille,192.0,472.0,407.9,7699.0
Tanzania,Afrique de l'Est,2000,Café,55655.0,125597.0,443.1,155832.9
Tanzania,Afrique de l'Est,2000,Girofle,11410.0,10850.0,1051.6,51345.5
Tanzania,Afrique de l'Est,2000,Noix de coco,557375.0,109788.0,5076.8,306556.4
Uganda,Afrique de l'Est,2000,Canne à sucre,1954045.0,37720.0,51804.4,547132.7
Uganda,Afrique de l'Est,2000,Vanille,57.0,176.0,325.3,2289.4
Uganda,Afrique de l'Est,2000,Café,285573.0,415750.0,686.9,799605.5
Uganda,Afrique de l'Est,2000,Girofle,199.0,298.0,667.8,895.9
Uganda,Afrique de l'Est,2000,Noix de coco,15558.0,4983.0,3122.0,8556.9
Ethiopia,Afrique de l'Est,2000,Canne à sucre,1073427.0,15429.0,69570.5,300559.5
Ethiopia,Afrique de l'Est,2000,Vanille,30.0,97.0,309.0,1194.9
Ethiopia,Afrique de l'Est,2000,Café,467011.0,616067.0,758.1,1307629.9
Ethiopia,Afrique de l'Est,2000,Girofle,97.0,190.0,508.3,434.7
Maurice,Océan Indien,2000,Canne à sucre,3603248.0,51529.0,69926.9,1008909.4
Maurice,Océan Indien,2000,Vanille,11.0,21.0,517.9,426.0
Maurice,Océan Indien,2000,Girofle,196.0,229.0,855.8,882.7
Maurice,Océan Indien,2000,Noix de coco,8589.0,1563.0,5493.4,4723.9
Comores,Océan Indien,2000,Canne à sucre,15088.0,316.0,47776.1,4224.6
Comores,Océan Indien,2000,Vanille,339.0,592.0,572.9,13566.3
Comores,Océan Indien,2000,Café,4908.0,15571.0,315.2,13741.5
Comores,Océan Indien,2000,Girofle,6860.0,6352.0,1079.9,30868.1
Comores,Océan Indien,2000,Noix de coco,51691.0,10733.0,4816.1,28430.1
Seychelles,Océan Indien,2000,Vanille,6.0,13.0,431.0,220.7
Seychelles,Océan Indien,2000,Girofle,47.0,62.0,766.4,213.1
Seychelles,Océan Indien,2000,Noix de coco,3219.0,564.0,5702.1,1770.3
Réunion,Océan Indien,2000,Canne à sucre,1796413.0,24957.0,71981.5,502995.7
Réunion,Océan Indien,2000,Vanille,28.0,48.0,586.5,1137.0
Réunion,Océan Indien,2000,Café,513.0,1258.0,407.5,1435.4
Réunion,Océan Indien,2000,Girofle,33.0,39.0,858.1,149.1
Réunion,Océan Indien,2000,Noix de coco,5864.0,1010.0,5807.7,3225.3
Brésil,Amériques tropicales,2000,Canne à sucre,752343203.0,10525700.0,71476.8,210656096.9
Brésil,Amériques tropicales,2000,Vanille,143.0,289.0,495.2,5731.2
Brésil,Amériques tropicales,2000,Café,3082683.0,2434941.0,1266.0,8631513.1
Brésil,Amériques tropicales,2000,Girofle,15919.0,12580.0,1265.4,71635.9
Brésil,Amériques tropicales,2000,Noix de coco,3151970.0,544404.0,5789.8,1733583.3
Inde,Asie tropicale,2000,Canne à sucre,320005073.0,4581759.0,69843.3,89601420.3
Inde,Asie tropicale,2000,Vanille,192.0,262.0,731.7,7663.9
Inde,Asie tropicale,2000,Café,351499.0,407384.0,862.8,984198.1
Inde,Asie tropicale,2000,Girofle,76289.0,46827.0,1629.2,343301.9
Inde,Asie tropicale,2000,Noix de coco,16118859.0,2567210.0,6278.7,8865372.3
Thaïlande,Asie tropicale,2000,Canne à sucre,86612556.0,1247791.0,69412.7,24251515.8
Thaïlande,Asie tropicale,2000,Vanille,38.0,85.0,441.2,1502.0
Thaïlande,Asie tropicale,2000,Café,28386.0,48489.0,585.4,79480.7
Thaïlande,Asie tropicale,2000,Girofle,471.0,579.0,814.1,2121.4
Thaïlande,Asie tropicale,2000,Noix de coco,1136469.0,219661.0,5173.7,625057.8
Indonésie,Asie tropicale,2000,Canne à sucre,35687316.0,536409.0,66530.0,9992448.5
Indonésie,Asie tropicale,2000,Vanille,2161.0,3569.0,605.7,86460.0
Indonésie,Asie tropicale,2000,Café,705325.0,1023642.0,689.0,1974909.2
Indonésie,Asie tropicale,2000,Girofle,110018.0,72053.0,1526.9,495081.8
Indonésie,Asie tropicale,2000,Noix de coco,19089025.0,3365651.0,5671.7,10498963.8
Malaisie,Asie tropicale,2000,Canne à sucre,891276.0,9385.0,94967.4,249557.4
Malaisie,Asie tropicale,2000,Vanille,17.0,36.0,463.3,662.6
Malaisie,Asie tropicale,2000,Café,17254.0,32474.0,531.3,48311.4
Malaisie,Asie tropicale,2000,Girofle,1266.0,1135.0,1115.5,5695.0
Malaisie,Asie tropicale,2000,Noix de coco,494990.0,68049.0,7274.1,272244.6
