ile,archipel,superficie_km2,groupe,statut,nb_especes
La Réunion,Mascareignes,2512,Plantes vasculaires,Non menacé,240
La Réunion,Mascareignes,2512,Plantes vasculaires,NT,45
La Réunion,Mascareignes,2512,Plantes vasculaires,VU,38
La Réunion,Mascareignes,2512,Plantes vasculaires,EN,22
La Réunion,Mascareignes,2512,Plantes vasculaires,CR,8
La Réunion,Mascareignes,2512,Oiseaux,Non menacé,18
La Réunion,Mascareignes,2512,Oiseaux,NT,4
La Réunion,Mascareignes,2512,Oiseaux,VU,5
La Réunion,Mascareignes,2512,Oiseaux,EN,3
La Réunion,Mascareignes,2512,Oiseaux,CR,2
La Réunion,Mascareignes,2512,Reptiles,Non menacé,8
La Réunion,Mascareignes,2512,Reptiles,NT,2
La Réunion,Mascareignes,2512,Reptiles,VU,3
La Réunion,Mascareignes,2512,Reptiles,EN,1
La Réunion,Mascareignes,2512,Mammifères terrestres,Non menacé,4
La Réunion,Mascareignes,2512,Mammifères terrestres,NT,1
La Réunion,Mascareignes,2512,Insectes,Non menacé,95
La Réunion,Mascareignes,2512,Insectes,NT,18
La Réunion,Mascareignes,2512,Insectes,VU,12
La Réunion,Mascareignes,2512,Insectes,EN,6
La Réunion,Mascareignes,2512,Insectes,CR,2
La Réunion,Mascareignes,2512,Mollusques,Non menacé,28
La Réunion,Mascareignes,2512,Mollusques,NT,5
La Réunion,Mascareignes,2512,Mollusques,VU,4
La Réunion,Mascareignes,2512,Mollusques,EN,3
La Réunion,Mascareignes,2512,Mollusques,CR,2
Maurice,Mascareignes,2040,Plantes vasculaires,Non menacé,180
Maurice,Mascareignes,2040,Plantes vasculaires,NT,52
Maurice,Mascareignes,2040,Plantes vasculaires,VU,48
Maurice,Mascareignes,2040,Plantes vasculaires,EN,35
Maurice,Mascareignes,2040,Plantes vasculaires,CR,12
Maurice,Mascareignes,2040,Oiseaux,Non menacé,12
Maurice,Mascareignes,2040,Oiseaux,NT,3
Maurice,Mascareignes,2040,Oiseaux,VU,4
Maurice,Mascareignes,2040,Oiseaux,EN,5
Maurice,Mascareignes,2040,Oiseaux,CR,3
Maurice,Mascareignes,2040,Reptiles,Non menacé,6
Maurice,Mascareignes,2040,Reptiles,NT,2
Maurice,Mascareignes,2040,Reptiles,VU,3
Maurice,Mascareignes,2040,Reptiles,EN,2
Maurice,Mascareignes,2040,Reptiles,CR,1
Maurice,Mascareignes,2040,Mammifères terrestres,Non menacé,3
Maurice,Mascareignes,2040,Mammifères terrestres,NT,1
Maurice,Mascareignes,2040,Mammifères terrestres,VU,1
Maurice,Mascareignes,2040,Insectes,Non menacé,72
Maurice,Mascareignes,2040,Insectes,NT,14
Maurice,Mascareignes,2040,Insectes,VU,18
Maurice,Mascareignes,2040,Insectes,EN,10
Maurice,Mascareignes,2040,Insectes,CR,4
Maurice,Mascareignes,2040,Mollusques,Non menacé,22
Maurice,Mascareignes,2040,Mollusques,NT,6
Maurice,Mascareignes,2040,Mollusques,VU,8
Maurice,Mascareignes,2040,Mollusques,EN,5
Maurice,Mascareignes,2040,Mollusques,CR,3
Rodrigues,Mascareignes,108,Plantes vasculaires,Non menacé,38
Rodrigues,Mascareignes,108,Plantes vasculaires,NT,12
Rodrigues,Mascareignes,108,Plantes vasculaires,VU,18
Rodrigues,Mascareignes,108,Plantes vasculaires,EN,14
Rodrigues,Mascareignes,108,Plantes vasculaires,CR,6
Rodrigues,Mascareignes,108,Oiseaux,Non menacé,5
Rodrigues,Mascareignes,108,Oiseaux,NT,1
Rodrigues,Mascareignes,108,Oiseaux,VU,2
Rodrigues,Mascareignes,108,Oiseaux,EN,1
Rodrigues,Mascareignes,108,Oiseaux,CR,1
Rodrigues,Mascareignes,108,Reptiles,Non menacé,3
Rodrigues,Mascareignes,108,Reptiles,NT,1
Rodrigues,Mascareignes,108,Reptiles,VU,1
Rodrigues,Mascareignes,108,Reptiles,EN,1
Rodrigues,Mascareignes,108,Mammifères terrestres,Non menacé,1
Rodrigues,Mascareignes,108,Mammifères terrestres,VU,1
Rodrigues,Mascareignes,108,Insectes,Non menacé,18
Rodrigues,Mascareignes,108,Insectes,NT,5
Rodrigues,Mascareignes,108,Insectes,VU,6
Rodrigues,Mascareignes,108,Insectes,EN,4
Rodrigues,Mascareignes,108,Insectes,CR,2
Rodrigues,Mascareignes,108,Mollusques,Non menacé,10
Rodrigues,Mascareignes,108,Mollusques,NT,3
Rodrigues,Mascareignes,108,Mollusques,VU,4
Rodrigues,Mascareignes,108,Mollusques,EN,3
Rodrigues,Mascareignes,108,Mollusques,CR,2
Mayotte,Comores,374,Plantes vasculaires,Non menacé,120
Mayotte,Comores,374,Plantes vasculaires,NT,20
Mayotte,Comores,374,Plantes vasculaires,VU,15
Mayotte,Comores,374,Plantes vasculaires,EN,8
Mayotte,Comores,374,Plantes vasculaires,CR,2
Mayotte,Comores,374,Oiseaux,Non menacé,22
Mayotte,Comores,374,Oiseaux,NT,3
Mayotte,Comores,374,Oiseaux,VU,2
Mayotte,Comores,374,Oiseaux,EN,1
Mayotte,Comores,374,Reptiles,Non menacé,12
Mayotte,Comores,374,Reptiles,NT,2
Mayotte,Comores,374,Reptiles,VU,1
Mayotte,Comores,374,Amphibiens,Non menacé,2
Mayotte,Comores,374,Amphibiens,VU,1
Mayotte,Comores,374,Mammifères terrestres,Non menacé,5
Mayotte,Comores,374,Mammifères terrestres,NT,1
Mayotte,Comores,374,Insectes,Non menacé,45
Mayotte,Comores,374,Insectes,NT,6
Mayotte,Comores,374,Insectes,VU,4
Mayotte,Comores,374,Insectes,EN,2
Mayotte,Comores,374,Mollusques,Non menacé,15
Mayotte,Comores,374,Mollusques,NT,2
Mayotte,Comores,374,Mollusques,VU,2
Mayotte,Comores,374,Mollusques,EN,1
Grande Comore,Comores,1148,Plantes vasculaires,Non menacé,150
Grande Comore,Comores,1148,Plantes vasculaires,NT,28
Grande Comore,Comores,1148,Plantes vasculaires,VU,22
Grande Comore,Comores,1148,Plantes vasculaires,EN,12
Grande Comore,Comores,1148,Plantes vasculaires,CR,3
Grande Comore,Comores,1148,Oiseaux,Non menacé,20
Grande Comore,Comores,1148,Oiseaux,NT,3
Grande Comore,Comores,1148,Oiseaux,VU,3
Grande Comore,Comores,1148,Oiseaux,EN,2
Grande Comore,Comores,1148,Oiseaux,CR,1
Grande Comore,Comores,1148,Reptiles,Non menacé,10
Grande Comore,Comores,1148,Reptiles,NT,2
